Intervall,Schwimmzug,Lengths,Distanz,Zeit,Ø Pace,Beste Pace,Ø SWOLF-Wert,Züge insgesamt,Ø Anzahl von Zügen,Kalorien,
 1,Verschieden,34,850,23:25.6,2:42,1:42,56,534,15,192,
 1.1,Brustschwimmen,1,25,:50.1,3:21,3:21,74,24,--,--,
 1.2,Kraulschwimmen,1,25,:28.0,1:52,1:52,38,10,--,--,
 1.3,Brustschwimmen,1,25,:54.1,3:36,3:36,76,22,--,--,
 1.4,Kraulschwimmen,1,25,:27.7,1:51,1:51,38,10,--,--,
 1.5,Brustschwimmen,1,25,:46.9,3:08,3:08,67,20,--,--,
 1.6,Kraulschwimmen,1,25,:34.6,2:19,2:19,47,12,--,--,
 1.7,Brustschwimmen,1,25,:53.2,3:33,3:33,73,20,--,--,
 1.8,Kraulschwimmen,1,25,:27.9,1:52,1:52,39,11,--,--,
 1.9,Brustschwimmen,1,25,:53.2,3:33,3:33,73,20,--,--,
 1.10,Kraulschwimmen,1,25,:27.7,1:51,1:51,39,11,--,--,
 1.11,Brustschwimmen,1,25,:54.7,3:39,3:39,76,21,--,--,
 1.12,Kraulschwimmen,1,25,:35.1,2:21,2:21,46,11,--,--,
 1.13,--,--,:27.8,--:--,--:--,--,0,--,--,
 1.14,Brustschwimmen,1,25,:55.2,3:41,3:41,79,24,--,--,
 1.15,Kraulschwimmen,1,25,:27.9,1:52,1:52,38,10,--,--,
 1.16,Brustschwimmen,1,25,:54.4,3:38,3:38,75,21,--,--,
 1.17,Kraulschwimmen,1,25,:25.4,1:42,1:42,35,10,--,--,
 1.18,Brustschwimmen,1,25,:48.2,3:13,3:13,68,20,--,--,
 1.19,Kraulschwimmen,1,25,:33.4,2:14,2:14,44,11,--,--,
 1.20,Brustschwimmen,1,25,:53.9,3:36,3:36,74,20,--,--,
 1.21,Kraulschwimmen,1,25,:26.0,1:44,1:44,36,10,--,--,
 1.22,Brustschwimmen,1,25,:54.3,3:37,3:37,74,20,--,--,
 1.23,Kraulschwimmen,1,25,:26.5,1:46,1:46,37,10,--,--,
 1.24,Brustschwimmen,1,25,:55.5,3:42,3:42,77,21,--,--,
 1.25,Kraulschwimmen,1,25,:30.8,2:03,2:03,43,12,--,--,
 1.26,Brustschwimmen,1,25,:41.6,2:47,2:47,60,18,--,--,
 1.27,Kraulschwimmen,1,25,:35.1,2:21,2:21,46,11,--,--,
 1.28,Brustschwimmen,1,25,:46.7,3:07,3:07,67,20,--,--,
 1.29,Kraulschwimmen,1,25,:35.6,2:22,2:22,47,11,--,--,
 1.30,Brustschwimmen,1,25,:46.6,3:07,3:07,67,20,--,--,
 1.31,Brustschwimmen,1,25,:47.4,3:10,3:10,66,19,--,--,
 1.32,Kraulschwimmen,1,25,:39.2,2:37,2:37,53,14,--,--,
 1.33,Kraulschwimmen,1,25,:28.6,1:55,1:55,40,11,--,--,
 1.34,Kraulschwimmen,1,25,:35.5,2:22,2:22,50,14,--,--,
 1.35,Kraulschwimmen,1,25,:36.8,2:27,2:27,52,15,--,--,
 Übersicht,,34,850,23:25.6,2:42,1:42,56,534,16,192,
