Aktivitäten von schidli
 
 Favorit,Aktivitätsname,Aktivitätstyp,Course,Start,Zeit,Distanz,Positiver Höhenunterschied,Ø Geschw(Ø Pace),Max. Geschw.(Beste Pace),Ø HF,Max. HF,Kalorien,sumStrokes,Ø Anzahl von Zügen,Mindestanzahl von Zügen,Ø SWOLF-Wert,Bester SWOLF-Wert,Training Effect,
 false,Luzern Radfahren,Radfahren,--,"Mi, Jun 1, 2016 9:05 AM",4:36:06,106.30,"1,562",23.1,68.9,--,--,"5,035",--,--,--,--,--,--,
 false,Luzern Radfahren,Radfahren,--,"Mo, Mai 30, 2016 1:53 PM",1:58:57,52.17,369,26.3,64.8,--,--,"2,152",--,--,--,--,--,--,
 false,Unbenannt,Laufen,--,"Fr, Mai 27, 2016 11:08 AM",25:30,4.62,26,5:32,:21,--,--,411,--,--,--,--,--,--,
 false,Unbenannt,Laufen,--,"Mo, Mai 9, 2016 9:59 AM",29:57,3.09,46,9:42,1:16,--,--,246,--,--,--,--,--,--,
 false,"Wien, Penzing Radfahren",Radfahren,--,"Sa, Mai 7, 2016 7:50 AM",5:15:45,129.27,"2,335",24.6,60.7,--,--,"6,488",--,--,--,--,--,--,
 false,Unbenannt,Laufen,--,"Fr, Mai 6, 2016 10:07 AM",35:21,4.49,48,7:52,12:19,130,147,361,--,--,--,--,--,2.5,
 false,Radfahren,Radfahren,--,"Do, Mai 5, 2016 11:54 AM",1:13:38,30.00,400,24.4,--,--,--,0,--,--,--,--,--,--,
 false,Unbenannt,Laufen,--,"Mo, Mai 2, 2016 10:09 AM",34:40,4.72,44,7:21,:23,138,159,410,--,--,--,--,--,3.1,
 false,Port D'Alcudia Radfahren,Radfahren,--,"Fr, Apr 22, 2016 8:49 AM",5:50:22,135.02,"1,348",23.1,58.8,--,--,"5,484",--,--,--,--,--,--,
 false,Port D'Alcudia Radfahren,Radfahren,--,"Do, Apr 21, 2016 1:17 PM",1:41:39,43.89,188,25.9,48.4,--,--,"1,707",--,--,--,--,--,--,
 false,Unbenannt,Laufen,--,"Mi, Apr 20, 2016 2:28 PM",28:38,5.41,45,5:18,--:--,164,177,428,--,--,--,--,--,4.3,
 false,Lluc Radfahren,Radfahren,--,"Mi, Apr 20, 2016 11:42 AM",1:38:11,39.10,245,23.9,54.2,--,--,"1,443",--,--,--,--,--,--,
 false,Port D'Alcudia Radfahren,Radfahren,--,"Mi, Apr 20, 2016 9:11 AM",1:53:58,37.50,687,19.7,45.4,--,--,"1,755",--,--,--,--,--,--,
 false,Port D'Alcudia Radfahren,Radfahren,--,"Di, Apr 19, 2016 8:49 AM",3:56:04,83.28,"1,188",21.2,58.4,--,--,"3,609",--,--,--,--,--,--,
 false,Unbenannt,Laufen,--,"Do, Apr 14, 2016 4:22 PM",:07,0.00,--,--:--,--,--,--,0,--,--,--,--,--,--,
 false,Unbenannt,Laufen,--,"Do, Apr 14, 2016 9:07 AM",48:02,5.46,73,8:48,:31,131,156,390,--,--,--,--,--,2.2,
 false,Unbenannt,Laufen,--,"Di, Apr 5, 2016 3:56 PM",41:37,7.50,155,5:33,:19,164,175,623,--,--,--,--,--,5.0,
 false,Unbenannt,Laufen,--,"So, Apr 3, 2016 8:26 AM",41:35,8.06,38,5:10,:16,159,169,545,--,--,--,--,--,5.0,
 false,Unbenannt,Laufen,--,"Do, Mrz 31, 2016 10:05 AM",53:42,6.56,105,8:11,:18,136,175,525,--,--,--,--,--,3.1,
 false,Unbenannt,Laufen,--,"Mi, Mrz 30, 2016 1:19 PM",1:05:21,10.88,190,6:00,:20,164,177,937,--,--,--,--,--,5.0,
 
