Date (YYYY-MM-DD / DD.MM.YYYY);Sport (RUN/BIKE/SWIM);Distance (km/mi);Duration (HH:MM:SS);Avg. heart rate;Testworkout (Yes/No);Name of (Test-)Workout;Weight (kg/lbs);Comment;Competition (Yes/No);Location (City, Country);Workout-Link
14.09.2010;RUN;11;01:16:33;136;;;84;06:36;;Wiener Neudorf, Austria;
15.09.2010;RUN;7,4;00:43:00;159;;;84;09:25;;Wiener Neudorf, Austria;
17.09.2010;RUN;20;01:57:00;152;;Gentics Office Run;;07:53;;Gentics, Gonzagagasse 11, 1010 Vienna, Austria;
18.09.2010;BIKE;35;01:17:00;141;;;;18:47;;;
21.09.2010;RUN;9,7;00:57:00;138;;;;06:40;;;
24.09.2010;RUN;20;01:52:00;152;;Gentics Office Run;;07:17;;Gentics, Gonzagagasse 11, 1010 Vienna, Austria;
25.09.2010;RUN;11;01:06:00;140;;;;17:09;;;
29.09.2010;RUN;9,7;00:50:20;159;;;84;06:40;;Wiener Neudorf, Österreich;
01.10.2010;RUN;20;01:51:22;151;;Gentics Office Run;;06:47;;Gentics, Gonzagagasse 11, 1010 Vienna, Austria;
04.10.2010;RUN;11,8;01:03:52;152;;;;06:38;;;
05.10.2010;RUN;10,3;00:58:50;146;;;84;06:41;;Wiener Neudorf, Österreich;
08.10.2010;RUN;20;01:54:08;151;;Gentics Office Run;;07:16;;Gentics, Gonzagagasse 11, 1010 Vienna, Austria;
09.10.2010;RUN;9,7;00:53:30;150;;;;14:35;;;
10.10.2010;RUN;17,6;01:41:00;158;;Husarentempel;84;09:49;;Husarentempel, Mödling, Österreich;
12.10.2010;RUN;9,5;00:52:00;146;;;;06:41;;;
18.10.2010;RUN;9,3;00:58:08;143;;;84;06:45;;;
19.10.2010;RUN;10,9;01:08:00;147;;;;06:41;;;
21.10.2010;RUN;5,6;00:35:00;150;;;82;07:02;;;
22.10.2010;BIKE;30;02:04:43;152;;;;06:42;;;
23.10.2010;RUN;9;00:51:41;145;;;;18:08;;;
25.10.2010;RUN;10,3;01:05:00;144;;;;06:43;;;
27.10.2010;RUN;8,3;00:52:08;147;;;82;06:47;;;
25.10.2010;SWIM;2;00:45:00;130;;;;19:00;;;
29.10.2010;RUN;20;02:03:33;155;;Gentics Office Run;;07:23;;Gentics, Gonzagagasse 11, 1010 Vienna, Austria;
31.10.2010;BIKE;30;01:59:31;116;;Baden - Richtung Neufeldersee / Tadej;;09:30;;;
01.11.2010;SWIM;2;00:45:00;130;;;;19:00;;;
03.11.2010;RUN;4,2;00:24:13;158;;Aarhus City;;06:38;;Aarhus, Denmark;
05.11.2010;RUN;4,4;00:33:50;139;;Kopenhagen City;;09:44;;Copenhagen, Denmark;
06.11.2010;RUN;9;00:50:01;147;;Biedermannsdorf Runde;82;07:14;;Biedermannsdorf, Austria;
06.11.2010;BIKE;30;02:17:43;123;;MTB Thallern Runde;;14:31;;;
08.11.2010;SWIM;2;00:45:00;130;;;;19:00;;;
07.11.2010;RUN;9,7;00:56:13;138;;Mödling Lauf;;09:11;;Mödling, Austria;
09.11.2010;RUN;11;01:14:20;150;;Mödling;;06:44;;Mödling, Austria;
12.11.2010;RUN;20;01:55:27;155;;Mödling;;06:47;;Mödling, Austria;
14.11.2010;RUN;14,6;01:32:17;146;;Berglauf;83;11:08;;Husarentempel, Mödling, Austria;
15.11.2010;SWIM;2;00:45:00;130;;;;19:00;;;
15.11.2010;RUN;9,3;01:00:37;140;;Mödling;;07:21;;Mödling, Austria;
16.11.2010;RUN;8,4;00:55:58;138;;Mödling;;07:41;;Mödling, Austria;
18.11.2010;RUN;9,3;01:00:06;136;;Mödling;;06:48;;Mödling, Austria;
21.11.2010;RUN;16,4;01:47:32;139;;Husarentempel;;14:53;;Husarentempel, Mödling, Austria;
22.11.2010;SWIM;2;00:45:00;130;;;;19:00;;;
23.11.2010;RUN;9;00:55:06;141;;Mödling;;08:05;;Mödling, Austria;
24.11.2010;RUN;9,5;01:00:45;134;;?;83;06:40;;Mödling, Austria;
26.11.2010;RUN;20;02:00:15;151;;Gentics Office Run;;06:56;;Gentics, Gonzagagasse 11, 1010 Vienna, Austria;
28.11.2010;RUN;14;01:30:00;150;;Mödling - Laxemburg - rechts rein;;08:00;;Laxenburg, Austria;
29.11.2010;SWIM;2;00:45:00;130;;;;19:00;;;
30.11.2010;RUN;9,4;01:07:00;138;;Gentics - Prater;;06:45;;Gentics, Gonzagagasse 11, 1010 Vienna, Austria;
02.12.2010;RUN;9,7;01:03:00;147;;Mödling Lauf;82,5;06:42;;;
03.12.2010;RUN;9,7;01:03:00;142;;Mödling Lauf;82;06:42;;Mödling Austria;
06.12.2010;RUN;9,7;01:04:24;142;;Mödling Lauf;82;06:40;;Mödling Austria;
07.12.2010;RUN;11;01:09:07;137;;Gentics Runners Point;;07:53;;Gonzagagasse 11, 1010 Wien, Austria;
09.12.2010;RUN;9,7;01:00:00;154;;Mödling Lauf;83;06:50;;Mödling Austria;
10.12.2010;RUN;13,3;01:29:54;146;;Laxenburg-Mödling;;06:44;;Laxemburg, Austria;
12.12.2010;RUN;14,1;01:30:31;141;;;;17:03;;;
14.12.2010;RUN;10;01:00:00;150;;Gentics Runners Point;;08:01;;Gonzagagasse 11, 1010 Wien, Austria;
18.12.2010;RUN;11,2;01:15:40;150;;;82;16:46;;;
20.12.2010;RUN;9,2;00:56:17;146;;Mödling Lauf;;06:44;;;
21.12.2010;RUN;10,7;01:07:00;142;;Gentics Runners Point;82;07:47;;;
22.12.2010;RUN;9,7;01:01:00;145;;Mödling Lauf;;06:40;;;
23.12.2010;RUN;20;01:50:28;157;;Gentics Office Run;81,5;06:58;;Gentics, Gonzagagasse 11, 1010 Vienna, Austria;
25.12.2010;RUN;28;02:38:00;139;;St. Veit - Wr. Neudorf;82;16:15;;St. Veit;
26.12.2010;RUN;9,7;01:00:00;146;;Mödling;;15:00;;;
28.12.2010;RUN;10,5;01:06:00;152;;Laxenburg-Mödling;82;06:38;;;
30.12.2010;RUN;20;02:02:00;146;;Gentics Office Run;82;06:46;;;
;;;;;;;;;;;
;;;;;;;;;;;
